Date,Open,High,Low,Close,Adj Close,Volume
2018-05-02,100.169998,100.720001,99.250000,99.620003,97.461380,9286400
2018-05-03,99.110001,99.250000,97.680000,98.760002,96.620018,10450800
2018-05-04,98.709999,101.349998,98.580002,101.150002,98.958229,9980100
2018-05-07,102.349998,102.680000,101.720001,102.480003,100.259415,10181100
2018-05-08,101.199997,102.639999,100.839996,101.790001,99.584358,14229500
2018-05-09,102.250000,102.269997,99.300003,99.970001,97.803795,18345700
2018-05-10,100.419998,102.070000,100.300003,101.680000,99.476753,8927300
2018-05-11,101.889999,102.209999,101.260002,102.070000,99.858299,7036000
2018-05-14,102.440002,103.489998,101.980003,102.440002,100.220284,9891900
2018-05-15,102.440002,103.320000,102.099998,102.919998,100.689865,5762400
2018-05-16,103.250000,105.040001,103.150002,105.040001,102.763939,8111600
2018-05-17,105.230003,105.480003,104.089996,104.339996,102.079109,7320600
2018-05-18,104.339996,104.790001,103.559998,103.930000,101.677994,5427300
2018-05-21,104.220001,104.680000,103.610001,104.059998,101.805168,5848700
2018-05-22,104.400002,105.489998,103.989998,104.070000,101.814957,6971600
2018-05-23,103.199997,103.339996,102.070000,102.889999,100.660530,8046600
2018-05-24,102.809998,102.860001,101.209999,102.110001,99.897430,7474100
2018-05-25,102.250000,103.000000,101.970001,102.199997,99.985474,6982700
2018-05-29,100.550003,101.650002,99.379997,99.690002,97.529869,11270400
2018-05-30,100.500000,100.550003,99.419998,99.980003,97.813583,7216400
2018-05-31,99.760002,100.139999,98.809998,99.470001,97.314636,9620000
2018-06-01,99.690002,100.050003,99.199997,99.360001,97.207016,6847700
2018-06-04,99.760002,100.500000,99.699997,100.239998,98.067947,6598000
2018-06-05,100.360001,100.510002,99.779999,99.940002,97.774445,5974400
2018-06-06,100.059998,101.940002,99.760002,101.910004,99.701767,7833000
2018-06-07,101.910004,102.959999,101.809998,102.470001,100.249626,7559200
2018-06-08,102.089996,103.989998,101.830002,103.980003,101.726913,7090300
2018-06-11,103.930000,104.790001,103.750000,104.349998,102.088890,8175000
2018-06-12,104.730003,105.220001,103.959999,104.330002,102.069328,9215300
2018-06-13,103.199997,107.879997,102.669998,106.309998,104.006416,22009400
2018-06-14,106.449997,109.489998,106.449997,108.750000,106.393547,18068700
2018-06-15,108.169998,109.419998,107.849998,108.849998,106.491386,16169200
2018-06-18,107.000000,107.480003,106.500000,107.059998,104.740166,9288600
2018-06-19,105.870003,106.989998,105.760002,106.099998,103.800972,8869500
2018-06-20,107.000000,107.900002,105.809998,107.150002,104.828217,18625900
2018-06-21,107.010002,107.250000,105.790001,105.889999,103.595520,7707800
2018-06-22,106.070000,106.800003,105.809998,106.339996,104.035759,8959100
2018-06-25,106.000000,106.080002,103.739998,104.449997,102.186714,7995800
2018-06-26,104.459999,104.709999,103.910004,104.260002,102.000839,6550000
2018-06-27,104.500000,105.879997,103.480003,103.959999,101.707336,8803300
2018-06-28,103.910004,105.120003,103.680000,104.769997,102.499794,6303600
2018-06-29,104.930000,105.680000,104.650002,104.809998,102.538918,6774000
2018-07-02,104.150002,105.370003,103.900002,105.330002,103.047653,5488900
2018-07-03,105.879997,105.949997,103.500000,104.040001,101.785606,2406300
2018-07-05,104.699997,105.599998,104.430000,105.339996,103.057434,6202800
2018-07-06,104.500000,105.040001,104.040001,104.779999,103.333580,4134500
2018-07-09,105.010002,106.070000,104.750000,106.019997,104.556458,4725200
2018-07-10,106.250000,106.570000,104.830002,106.029999,104.566315,4213600
2018-07-11,105.320000,109.339996,105.320000,108.040001,106.548576,11753800
2018-07-12,108.050003,109.199997,107.820000,108.250000,106.755676,5931400
2018-07-13,108.000000,110.239998,107.660004,110.000000,108.481522,8188800
2018-07-16,109.820000,110.449997,108.769997,110.199997,108.678749,8245900
2018-07-17,110.260002,112.620003,110.089996,110.300003,108.777382,9075900
2018-07-18,110.309998,111.059998,109.650002,110.690002,109.161995,6414100
2018-07-19,111.540001,114.680000,111.300003,112.129997,110.582115,17796800
2018-07-20,112.150002,112.199997,110.830002,111.480003,109.941093,11787900
2018-07-23,111.050003,111.209999,110.339996,111.089996,109.556465,5447800
2018-07-24,111.839996,111.889999,110.540001,110.699997,109.171852,5648800
2018-07-25,110.639999,111.419998,109.629997,111.180000,109.645226,6756800
2018-07-26,112.150002,114.559998,111.680000,113.510002,111.943062,9466400
2018-07-27,114.000000,114.050003,111.919998,112.620003,111.065353,5717000
2018-07-30,112.199997,113.339996,112.050003,112.629997,111.075211,5199300
2018-07-31,112.550003,114.050003,112.360001,113.559998,111.992371,8421200
2018-08-01,113.680000,113.830002,112.589996,112.970001,111.410522,6466600
2018-08-02,112.500000,113.320000,111.680000,112.750000,111.193550,4027300
2018-08-03,113.199997,114.099998,112.400002,114.089996,112.515053,4747500
2018-08-06,114.660004,116.839996,114.160004,115.940002,114.339523,12715600
2018-08-07,116.570000,117.900002,116.239998,116.559998,114.950958,15466900
2018-08-08,115.900002,116.410004,113.900002,113.980003,112.406578,11722900
2018-08-09,114.050003,114.800003,112.809998,114.160004,112.584099,7042000
2018-08-10,113.580002,113.800003,112.400002,112.680000,111.124527,5740200
2018-08-13,112.660004,112.839996,111.720001,112.120003,110.572258,6080900
2018-08-14,112.379997,113.190002,111.949997,112.750000,111.193550,4326400
2018-08-15,112.180000,113.120003,111.470001,112.849998,111.292175,5183200
2018-08-16,113.300003,113.330002,112.400002,112.480003,110.927284,5082500
2018-08-17,112.510002,112.860001,111.889999,112.480003,110.927284,4764500
2018-08-20,112.930000,113.000000,111.910004,111.989998,110.444038,5167600
2018-08-21,112.250000,113.000000,112.000000,112.389999,110.838524,4770400
2018-08-22,112.440002,112.750000,111.940002,111.940002,110.394737,3213000
2018-08-23,111.940002,112.139999,111.529999,112.000000,110.453903,4257400
2018-08-24,111.629997,112.699997,111.440002,111.930000,110.384880,5049000
2018-08-27,112.489998,112.889999,112.070000,112.330002,110.779350,4767700
2018-08-28,112.570000,112.790001,112.199997,112.580002,111.025902,3131600
2018-08-29,112.580002,112.720001,112.019997,112.449997,110.897690,4001500
2018-08-30,112.070000,112.419998,111.589996,111.919998,110.375015,3481600
2018-08-31,111.900002,112.279999,111.559998,112.019997,110.473625,4642800
2018-09-04,111.800003,112.000000,110.650002,110.849998,109.319778,6391200
2018-09-05,110.580002,110.820000,109.699997,109.870003,108.353317,6388300
2018-09-06,110.000000,110.410004,109.360001,110.260002,108.737930,5267200
2018-09-07,110.080002,111.349998,110.010002,110.970001,109.438126,4754800
2018-09-10,111.440002,111.910004,110.370003,110.680000,109.152130,4636500
2018-09-11,110.500000,110.610001,109.510002,109.599998,108.087036,5488600
2018-09-12,109.250000,110.250000,109.180000,109.459999,107.948967,5236700
2018-09-13,109.550003,110.720001,109.370003,110.669998,109.142265,5119400
2018-09-14,110.919998,111.250000,108.879997,109.260002,107.751740,6012400
2018-09-17,109.580002,109.879997,108.610001,109.360001,107.850349,5592900
2018-09-18,108.889999,109.750000,108.230003,109.529999,108.018005,4937800
2018-09-19,109.629997,110.180000,109.480003,109.790001,108.274414,5964600
2018-09-20,110.580002,111.949997,109.940002,111.620003,110.079155,7121800
2018-09-21,111.949997,111.980003,110.400002,110.400002,108.875999,25753600
2018-09-24,112.269997,113.139999,111.699997,112.769997,111.213272,9232300
2018-09-25,113.309998,114.709999,112.650002,113.629997,112.061401,12169400
2018-09-26,114.010002,116.320000,114.010002,115.209999,113.619598,11141500
2018-09-27,115.190002,116.599998,115.099998,116.040001,114.438141,5195300
2018-09-28,115.650002,117.459999,115.349998,116.940002,115.325714,7366800
2018-10-01,117.279999,117.400002,115.680000,116.239998,114.635376,8643900
2018-10-02,115.550003,117.699997,115.300003,117.660004,116.035774,6441700
2018-10-03,117.949997,118.099998,116.739998,116.910004,115.296127,6111700
2018-10-04,117.000000,117.169998,115.120003,116.129997,114.526894,6442800
2018-10-05,116.000000,116.580002,114.730003,114.779999,113.195534,5835700
2018-10-08,114.830002,116.160004,114.120003,116.019997,114.418411,5652300
2018-10-09,116.620003,117.769997,116.040001,116.889999,115.276405,6761400
2018-10-10,116.839996,117.230003,112.730003,112.860001,111.302040,9006500
2018-10-11,112.500000,113.250000,110.320000,111.150002,109.615646,10045400
2018-10-12,111.970001,113.269997,111.230003,112.610001,111.055489,5963900
2018-10-15,111.930000,114.620003,111.889999,113.440002,111.874031,6628800
2018-10-16,114.339996,116.370003,113.839996,116.190002,114.586067,7619000
2018-10-17,116.099998,117.220001,115.430000,117.129997,115.513092,7120600
2018-10-18,116.750000,117.129997,115.580002,116.180000,114.576202,6056300
2018-10-19,117.419998,119.169998,117.220001,118.900002,117.258659,10431000
2018-10-22,119.050003,119.690002,117.720001,118.269997,116.637352,8406400
2018-10-23,116.949997,118.489998,115.410004,117.849998,116.223152,8607400
2018-10-24,117.059998,117.059998,111.250000,111.610001,110.069290,11630500
2018-10-25,112.620003,114.690002,112.120003,114.160004,112.584099,7406900
2018-10-26,112.839996,114.139999,112.099998,113.190002,111.627480,7984700
2018-10-29,114.449997,114.940002,111.959999,113.040001,111.479553,9234100
2018-10-30,113.389999,114.889999,112.410004,114.760002,113.175812,7365400
2018-10-31,116.230003,116.519997,114.680000,114.830002,113.244843,9196700
2018-11-01,115.199997,116.279999,114.900002,116.099998,114.497307,6779900
2018-11-02,116.830002,116.949997,114.370003,115.180000,113.590012,6377900
2018-11-05,115.739998,116.220001,115.120003,115.449997,113.856277,7920800
2018-11-06,115.739998,116.839996,115.449997,116.709999,115.098892,5036600
2018-11-07,116.570000,117.290001,115.160004,117.050003,115.434196,8249800
2018-11-08,117.449997,117.830002,115.209999,116.000000,114.398697,11074800
2018-11-09,118.199997,120.199997,117.180000,118.000000,116.371078,16878200
2018-11-12,118.000000,118.459999,116.599998,116.699997,115.089027,9170600
2018-11-13,117.110001,117.779999,116.180000,116.849998,115.236954,4650600
2018-11-14,117.440002,118.220001,116.440002,117.120003,115.503235,7109100
2018-11-15,116.489998,117.430000,115.699997,117.110001,115.493370,7088700
2018-11-16,116.529999,117.339996,115.989998,116.190002,114.586067,7141900
2018-11-19,116.000000,117.830002,114.790001,115.419998,113.826691,9714600
2018-11-20,113.519997,114.589996,111.519997,111.870003,110.325706,11194600
2018-11-21,112.500000,113.989998,112.300003,113.029999,111.469688,7242500
2018-11-23,112.239998,112.790001,111.739998,112.080002,110.532806,3242300
2018-11-26,113.180000,113.180000,111.919998,112.550003,110.996323,7002400
2018-11-27,113.610001,114.099998,112.410004,113.900002,112.327682,7357500
2018-11-28,114.320000,116.300003,114.050003,116.099998,114.497307,9039800
2018-11-29,115.750000,117.139999,115.209999,116.610001,115.000267,10834700
2018-11-30,116.839996,117.070000,115.059998,115.489998,113.895729,16857800
2018-12-03,116.650002,116.919998,114.910004,115.739998,114.142273,9273300
2018-12-04,115.620003,116.290001,112.660004,112.870003,111.311905,10806700
2018-12-06,112.059998,114.339996,111.160004,114.330002,112.751747,10546200
2018-12-07,113.860001,113.989998,111.610001,111.980003,111.290802,8305500
2018-12-10,111.989998,112.290001,109.529999,111.860001,111.171532,7337500
2018-12-11,112.970001,113.720001,111.430000,111.970001,111.280861,6861800
2018-12-12,113.000000,113.980003,112.150002,112.209999,111.519379,7723900
2018-12-13,112.870003,113.599998,112.339996,113.389999,112.692116,6661500
2018-12-14,112.370003,113.919998,112.050003,112.199997,111.509438,7601900
2018-12-17,112.290001,112.889999,110.029999,110.620003,109.939171,7731800
2018-12-18,110.870003,111.080002,108.900002,109.449997,108.776360,6682300
2018-12-19,110.000000,112.129997,108.949997,109.220001,108.547783,9416900
2018-12-20,108.750000,109.209999,106.129997,107.000000,106.341446,9387300
2018-12-21,106.470001,108.750000,103.860001,104.220001,103.578560,15530600
2018-12-24,103.230003,103.900002,100.349998,100.349998,99.732376,7133000
2018-12-26,100.489998,105.849998,100.379997,105.830002,105.178650,9422800
2018-12-27,104.410004,106.550003,102.800003,106.519997,105.864395,8201400
2018-12-28,107.279999,108.519997,106.190002,107.300003,106.639603,7620500
2018-12-31,109.110001,109.669998,107.550003,109.650002,108.975136,7241700
2019-01-02,108.099998,109.139999,107.730003,108.970001,108.299324,9723500
2019-01-03,108.480003,108.650002,105.940002,106.330002,105.675568,10594700
2019-01-04,107.940002,110.750000,107.250000,109.610001,108.935379,10122800
2019-01-07,109.910004,111.400002,109.300003,110.559998,109.879532,6714700
2019-01-08,111.800003,112.559998,111.169998,111.419998,110.734238,8730700
2019-01-09,111.800003,112.800003,111.559998,112.669998,111.976547,5931900
2019-01-10,111.989998,112.910004,111.500000,112.800003,112.105751,6160100
2019-01-11,112.180000,112.919998,111.730003,112.650002,111.956673,4819100
2019-01-14,111.650002,112.699997,111.430000,112.419998,111.728088,6980600
2019-01-15,112.300003,113.180000,110.610001,111.760002,111.072151,9800900
2019-01-16,111.449997,112.010002,110.809998,110.910004,110.227386,5899900
2019-01-17,110.720001,111.260002,110.160004,111.010002,110.326767,6392000
2019-01-18,111.860001,111.930000,110.830002,111.040001,110.356583,8554700
2019-01-22,110.620003,111.330002,109.750000,110.599998,109.919289,6986700
2019-01-23,111.190002,111.839996,110.000000,111.120003,110.436089,6845600
2019-01-24,111.000000,111.110001,109.930000,110.550003,109.869598,6716800
2019-01-25,111.470001,111.500000,110.660004,111.089996,110.406265,5706900
2019-01-28,110.760002,110.989998,109.949997,110.809998,110.127991,6178800
2019-01-29,110.650002,110.930000,110.000000,110.900002,110.217445,5253700
2019-01-30,110.300003,110.580002,108.959999,110.129997,109.452179,7853800
2019-01-31,110.099998,111.540001,110.010002,111.519997,110.833626,8351600
2019-02-01,111.970001,112.050003,110.930000,111.300003,110.614983,6557700
2019-02-04,111.410004,111.980003,110.680000,111.800003,111.111908,7037000
2019-02-05,112.019997,112.739998,111.449997,112.660004,111.966614,13619800
2019-02-06,113.849998,113.919998,111.070000,111.410004,110.724304,14229000
2019-02-07,111.050003,111.110001,109.809998,110.949997,110.267128,8658100
2019-02-08,110.459999,111.540001,110.059998,111.510002,110.823692,6395500
2019-02-11,111.769997,111.809998,109.250000,109.440002,108.766434,11086400
2019-02-12,110.209999,110.830002,109.150002,109.199997,108.527901,7610200
2019-02-13,109.239998,110.480003,109.230003,110.199997,109.521744,6919700
2019-02-14,109.849998,111.500000,109.540001,110.660004,109.978920,6324300
2019-02-15,111.400002,112.629997,111.029999,112.589996,111.897034,8197300
2019-02-19,112.910004,113.769997,112.830002,113.510002,112.811378,8169600
2019-02-20,113.599998,114.089996,113.290001,113.680000,112.980331,7081500
2019-02-21,113.400002,114.540001,112.870003,114.290001,113.586578,9480100
2019-02-22,114.629997,115.769997,113.949997,115.250000,114.540672,8734700
2019-02-25,115.620003,115.800003,113.459999,113.589996,112.890884,9327700
2019-02-26,113.650002,114.010002,112.849998,113.500000,112.801437,8956000
2019-02-27,113.099998,113.510002,112.459999,112.779999,112.085869,7249500
2019-02-28,112.900002,113.430000,112.750000,112.839996,112.145500,6716700
2019-03-01,113.449997,114.440002,113.449997,114.010002,113.308304,6996900
2019-03-04,114.419998,114.419998,113.089996,114.330002,113.626335,6015000
2019-03-05,114.230003,114.540001,113.760002,114.000000,113.298363,5225100
2019-03-06,114.000000,115.050003,114.000000,114.849998,114.143127,7352800
2019-03-07,114.849998,114.900002,113.470001,114.010002,113.308304,6324000
2019-03-08,113.459999,113.839996,112.900002,113.809998,113.109528,6549100
2019-03-11,114.040001,115.000000,114.029999,114.750000,114.043747,6952700
2019-03-12,114.720001,115.300003,114.040001,114.730003,114.023872,9920300
2019-03-13,114.839996,114.849998,113.720001,114.089996,113.387802,17994500
2019-03-14,114.120003,114.769997,113.930000,114.480003,113.775414,17409600
2019-03-15,114.500000,115.480003,113.680000,114.959999,114.252457,14932700
2019-03-18,113.029999,114.000000,112.459999,113.120003,112.423782,21769800
2019-03-19,112.949997,113.709999,109.800003,110.000000,109.322983,45384400
2019-03-20,110.309998,110.879997,108.050003,109.989998,109.313042,35588700
2019-03-21,110.099998,110.150002,108.370003,108.660004,107.991234,27438900
2019-03-22,108.330002,109.000000,107.510002,108.230003,107.563881,24133800
2019-03-25,108.489998,109.070000,107.320000,107.790001,107.126587,18187500
2019-03-26,108.400002,110.339996,108.269997,110.139999,109.462120,16693100
2019-03-27,110.449997,111.089996,109.730003,110.279999,109.601257,10794800
2019-03-28,110.599998,111.269997,110.239998,110.709999,110.028610,11748900
2019-03-29,111.559998,111.599998,110.389999,111.029999,110.346642,16358800
2019-04-01,111.589996,112.870003,111.379997,112.510002,111.817535,10785100
2019-04-02,113.150002,113.309998,111.919998,111.959999,111.270920,9231800
2019-04-03,112.699997,113.110001,112.209999,112.519997,111.827469,10534900
2019-04-04,113.239998,114.860001,113.029999,114.750000,114.043747,14378400
2019-04-05,114.970001,115.129997,114.309998,115.000000,114.292206,10907900
2019-04-08,115.000000,115.830002,114.639999,114.959999,114.252457,11054200
2019-04-09,115.610001,117.160004,115.279999,116.860001,116.140762,17340300
2019-04-10,117.580002,118.029999,116.279999,117.160004,116.438919,14091100
2019-04-11,117.730003,117.860001,116.320000,116.599998,115.882362,12784500
2019-04-12,127.910004,130.899994,126.360001,130.059998,129.259521,65253500
2019-04-15,131.050003,132.699997,129.789993,132.039993,131.227325,32773700
2019-04-16,131.750000,132.130005,129.559998,129.899994,129.100494,14564300
2019-04-17,129.809998,132.360001,129.279999,131.750000,130.939117,14253700
2019-04-18,131.770004,132.869995,131.110001,132.449997,131.634811,11890600
2019-04-22,131.899994,132.199997,131.029999,131.679993,130.869537,10197500
2019-04-23,133.389999,134.240005,132.649994,133.360001,132.539215,12159300
2019-04-24,133.110001,135.750000,132.720001,135.100006,134.268509,11449500
2019-04-25,135.360001,138.880005,134.839996,137.240005,136.395325,16382500
2019-04-26,138.699997,140.039993,137.509995,139.919998,139.058838,14167600
2019-04-29,142.190002,142.369995,137.610001,139.300003,138.442657,25746100
2019-04-30,139.119995,139.389999,136.029999,136.970001,136.126984,15253100
2019-05-01,137.490005,138.169998,136.240005,136.380005,135.540619,8906700
2019-05-02,135.380005,135.690002,132.380005,134.139999,133.314407,16580400
2019-05-03,135.220001,135.309998,133.779999,134.330002,133.503235,8874400
2019-05-06,132.539993,135.330002,132.300003,135.000000,134.169113,9955600
2019-05-07,135.350006,135.970001,132.759995,133.440002,132.618713,10972700
2019-05-08,133.500000,135.699997,133.309998,134.990005,134.159180,15423500
2019-05-09,135.029999,136.479996,132.839996,133.589996,132.767792,15297100
2019-05-10,133.009995,134.320007,131.229996,134.039993,133.215012,9858500
2019-05-13,131.500000,132.660004,130.550003,131.339996,130.531631,11389900
2019-05-14,133.520004,134.660004,132.050003,133.199997,132.380188,12001700
2019-05-15,132.550003,135.210007,132.039993,134.679993,133.851074,9734100
2019-05-16,135.289993,136.399994,134.809998,135.500000,134.666031,9689400
2019-05-17,134.259995,135.979996,134.029999,135.039993,134.208862,8964200
2019-05-20,134.250000,134.399994,133.250000,133.910004,133.085831,8009000
2019-05-21,134.570007,134.570007,133.110001,134.089996,133.264709,7050300
2019-05-22,133.820007,134.169998,133.389999,133.850006,133.026199,5093700
2019-05-23,132.710007,133.550003,131.949997,132.729996,131.913086,6743300
2019-05-24,133.100006,133.289993,132.220001,132.789993,131.972702,4570100
2019-05-28,133.210007,134.039993,132.589996,132.619995,131.803757,8938400
2019-05-29,131.960007,132.149994,130.779999,131.570007,130.760239,7749600
2019-05-30,131.880005,132.679993,131.339996,132.199997,131.386337,5274000
2019-05-31,130.960007,132.929993,130.779999,132.039993,131.227325,7420700
2019-06-03,132.020004,132.949997,131.490005,132.470001,131.654694,7901400
2019-06-04,133.449997,134.880005,132.919998,134.820007,133.990234,8247500
2019-06-05,135.410004,136.000000,134.940002,135.940002,135.103333,6842800
2019-06-06,136.509995,137.440002,135.729996,137.210007,136.365524,6027300
2019-06-07,137.600006,138.759995,137.330002,138.039993,137.190399,7026300
2019-06-10,138.880005,138.880005,136.070007,137.070007,136.226379,8479500
2019-06-11,137.589996,137.750000,134.940002,135.080002,134.248627,6352200
2019-06-12,135.089996,136.279999,134.820007,135.720001,134.884689,5537000
2019-06-13,137.949997,141.850006,137.610001,141.740005,140.867630,17939500
2019-06-14,142.050003,142.949997,140.529999,141.649994,140.778183,11125200
2019-06-17,140.809998,141.479996,139.110001,140.970001,140.102371,8542700
2019-06-18,141.990005,143.509995,138.970001,139.240005,138.383026,11231400
2019-06-19,139.509995,141.070007,138.580002,140.919998,140.052673,6877100
2019-06-20,141.979996,142.229996,139.910004,142.020004,141.145905,8485800
2019-06-21,141.949997,142.000000,140.000000,140.229996,139.366913,14150000
2019-06-24,140.119995,140.470001,137.800003,139.220001,138.363144,10497400
2019-06-25,139.020004,140.410004,138.669998,139.940002,139.078705,14675400
2019-06-26,140.360001,140.740005,139.509995,140.399994,139.535873,8842100
2019-06-27,141.000000,141.740005,138.919998,139.300003,138.442657,6466300
2019-06-28,139.410004,140.210007,138.610001,139.639999,138.780548,20078800
2019-07-01,140.449997,141.949997,139.220001,141.649994,140.778183,8996500
2019-07-02,141.399994,142.860001,141.270004,142.529999,141.652771,7554100
2019-07-03,142.699997,143.000000,142.000000,142.979996,142.099991,4150900
2019-07-05,141.419998,142.889999,140.699997,142.449997,142.449997,5596000
2019-07-08,142.179993,142.229996,140.970001,141.020004,141.020004,4993900
2019-07-09,140.059998,141.720001,139.750000,141.610001,141.610001,7396300
2019-07-10,142.399994,144.250000,142.009995,143.539993,143.539993,9533700
2019-07-11,144.009995,145.339996,143.539993,143.559998,143.559998,10471100
2019-07-12,144.149994,145.429993,144.000000,144.880005,144.880005,8510000
2019-07-15,145.130005,145.360001,143.970001,145.059998,145.059998,5289200
2019-07-16,144.750000,144.990005,143.809998,144.300003,144.300003,5854700
2019-07-17,144.600006,144.679993,142.369995,142.570007,142.570007,5296400
2019-07-18,142.460007,142.460007,140.169998,141.630005,141.630005,8035500
2019-07-19,142.240005,142.240005,139.740005,139.850006,139.850006,6109900
2019-07-22,141.250000,141.440002,140.009995,140.839996,140.839996,7706400
2019-07-23,141.649994,142.539993,140.270004,141.259995,141.259995,7514500
2019-07-24,141.399994,141.589996,140.399994,141.289993,141.289993,5896600
2019-07-25,141.399994,143.229996,141.039993,143.210007,143.210007,7294400
2019-07-26,143.740005,145.190002,143.050003,144.649994,144.649994,8139400
2019-07-29,145.589996,147.149994,145.169998,146.389999,146.389999,11674100
2019-07-30,145.759995,146.800003,144.610001,144.929993,144.929993,6563100
2019-07-31,144.990005,145.000000,142.339996,143.009995,143.009995,9710700
2019-08-01,143.339996,144.529999,141.259995,141.850006,141.850006,8911700
2019-08-02,140.990005,142.220001,139.940002,141.710007,141.710007,6539100
2019-08-05,139.139999,140.229996,137.029999,138.300003,138.300003,10669700
2019-08-06,140.410004,141.949997,138.369995,141.869995,141.869995,18818900
2019-08-07,134.929993,135.869995,132.259995,134.860001,134.860001,29084500
2019-08-08,137.899994,138.000000,136.009995,137.889999,137.889999,14054800
2019-08-09,137.100006,139.240005,136.759995,138.520004,138.520004,8811900
2019-08-12,137.309998,137.570007,135.229996,135.750000,135.750000,7473300
2019-08-13,135.000000,137.919998,135.000000,137.009995,137.009995,8145400
2019-08-14,135.059998,135.149994,132.679993,132.850006,132.850006,11797700
2019-08-15,133.500000,134.279999,132.470001,133.410004,133.410004,7590100
2019-08-16,134.020004,135.500000,133.830002,135.199997,135.199997,6353800
2019-08-19,136.789993,137.619995,134.279999,135.289993,135.289993,11741800
2019-08-20,133.330002,136.039993,133.259995,135.130005,135.130005,8628000
2019-08-21,134.610001,136.059998,134.050003,135.759995,135.759995,6325000
2019-08-22,136.199997,136.669998,134.690002,136.080002,136.080002,6967100
2019-08-23,135.509995,136.440002,131.020004,131.669998,131.669998,10190900
2019-08-26,134.190002,134.639999,132.550003,134.610001,134.610001,8093800
2019-08-27,135.770004,135.990005,134.190002,134.490005,134.490005,6013600
2019-08-28,134.059998,136.729996,133.520004,136.550003,136.550003,5950500
2019-08-29,138.119995,138.679993,137.419998,137.839996,137.839996,6532700
2019-08-30,138.289993,138.500000,136.759995,137.259995,137.259995,5622200
2019-09-03,136.369995,136.419998,135.059998,136.309998,136.309998,5997400
2019-09-04,136.740005,138.199997,136.389999,137.889999,137.889999,4285400
